ID,名称,URL,X,Y
51,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030005.pdf,8131.24,-39062.76
52,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00270004.pdf,8496.88,-39201.44
53,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00280006.pdf,8416.64,-39110.11
54,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00990002.pdf,8705.72,-39648.6
55,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01070001.pdf,9303.69,-39581.71
56,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030006.pdf,8632.2,-39679.64
57,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00630002.pdf,5303.07,-38264.52
58,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00660004.pdf,5322.8,-38354.46
59,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00690001.pdf,5128.5,-38768.76
60,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00050002.pdf,6111.64,-38377.89
61,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00070003.pdf,6142.51,-38246.09
62,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00090001.pdf,6169.03,-38309.66
63,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00190001.pdf,6024.01,-38802.78
64,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00210001.pdf,6161.02,-38841.62
65,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00440002.pdf,6198.56,-38682.97
66,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00480001.pdf,6092.23,-38756.31
67,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00510001.pdf,6103.96,-38693.43
68,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00550007.pdf,6777.35,-38718.58
69,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00560006.pdf,6409.51,-38876.14
70,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00860005.pdf,6167.53,-38425.96
71,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00880002.pdf,6198.89,-38464.63
72,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01090002.pdf,6010.9,-38811.98
73,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030009.pdf,6765.73,-38436.99
74,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030008.pdf,6285.61,-38202.95
75,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030003.pdf,7015.33,-38234.76
76,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00380001.pdf,7675.48,-38692.94
77,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00400001.pdf,7552.48,-38848.77
78,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00410009.pdf,7736.74,-38341.8
79,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00540001.pdf,7460.37,-38349.78
80,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00790005.pdf,7407.72,-38265.44
81,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00900003.pdf,7224.85,-38872.98
82,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030004.pdf,7614.69,-38399.57
83,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00030001.pdf,5984.14,-38019.89
84,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00640001.pdf,5098.4,-37414.86
85,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00650003.pdf,4994.44,-37903.48
86,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00670001.pdf,5146.38,-37766.55
87,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00760001.pdf,5712.74,-37812.86
88,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00890001.pdf,5573.81,-37600.56
89,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00890002.pdf,5544.93,-37620.52
90,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030007.pdf,5351.28,-37898.4
